company,ticker,name,title,year_joined,origin_country,origin_region,immigrant,role_category,total_compensation_usd,comp_fiscal_year,documented_adversity,potential_index,mental_strength,adversity_origin_score,data_tier
Tesla,TSLA,Elon Musk,CEO & Director,2004.0,South Africa,Africa,Yes,Founder/CEO,0.0,FY2024,Immigrant via Canada; publicly described a difficult childhood and estrangement from father,100,92,72,core
Tesla,TSLA,Vaibhav Taneja,Chief Financial Officer,2017.0,India,South Asia,Yes,CFO,139500000.0,FY2024,Humble Delhi origins; rose from PwC trainee,82,78,66,core
Tesla,TSLA,Tom Zhu,SVP APAC and Global Vehicle Manufacturing,2014.0,China,East Asia,Yes,C-suite,376000.0,FY2024,immigrant; rose through operational ranks,82,80,62,core
Tesla,TSLA,Robyn Denholm,Chair of the Board,2014.0,Australia,Oceania,Yes,Chair,,,Daughter of post-war immigrants; grew up working in family's service station,80,78,68,core
Tesla,TSLA,JB Straubel,Director (co-founder & former CTO),2004.0,USA,North America,No,Co-founder,,,none documented,86,78,45,core
Tesla,TSLA,Ira Ehrenpreis,Independent Director,2007.0,USA,North America,No,Director,,,none documented,74,72,45,core
Tesla,TSLA,Kimbal Musk,Director,2004.0,South Africa,Africa,Yes,Director,,,Immigrant from South Africa,74,74,55,core
Tesla,TSLA,James Murdoch,Director,2017.0,UK,Europe,Yes,Director,,,none documented (Murdoch family),74,72,25,core
Tesla,TSLA,Joe Gebbia,Director,2022.0,USA,North America,No,Director,,,none documented,80,74,45,core
Tesla,TSLA,Kathleen Wilson-Thompson,Director,2018.0,USA,North America,No,Director,,,none documented,74,72,52,core
Tesla,TSLA,Jack Hartung,Director,2025.0,USA,North America,No,Director,,,none documented,76,72,45,core
Tesla,TSLA,Franz von Holzhausen,Chief Designer,2008.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Lars Moravy,VP Vehicle Engineering,2010.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Ashok Elluswamy,VP AI/Autopilot Software,2014.0,India,South Asia,Yes,C-suite,,,Born to a middle-class family in southern India,76,80,78,extended
Tesla,TSLA,Andrej Karpathy,Director of AI / Autopilot Vision (former),2017.0,Slovakia,Europe,Yes,C-suite,,,Emigrated from Slovakia to Canada as a teenager,76,80,78,extended
Tesla,TSLA,Milan Kovac,VP Head of Engineering Optimus (former),2016.0,Belgium,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Tesla,TSLA,Konstantinos Laskaris,Principal Motor Designer / Optimus hardware lead,2012.0,Greece,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Tesla,TSLA,Pete Bannon,VP Silicon Engineering (former),2016.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Ganesh Venkataramanan,Senior Director Autopilot Hardware / Dojo lead (former),2016.0,India,South Asia,Yes,C-suite,,,none documented,76,74,60,extended
Tesla,TSLA,Emil Talpes,Hardware Engineer Dojo,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Tesla,TSLA,Debjit Das Sarma,Autopilot Hardware Architect,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Tesla,TSLA,Bill Chang,Principal System Engineer Dojo,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Tesla,TSLA,Tim Zaman,Head of AI Infrastructure (former),2019.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Drew Baglino,SVP Powertrain and Energy Engineering (former),2006.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Martin Eberhard,Co-founder and CEO (former),2003.0,USA,North America,No,Co-founder,,,none documented,84,80,45,extended
Tesla,TSLA,Marc Tarpenning,Co-founder / VP Electrical Engineering (former),2003.0,USA,North America,No,Co-founder,,,none documented,84,80,45,extended
Tesla,TSLA,Ian Wright,Co-founder (former),2003.0,New Zealand,Oceania,Yes,Co-founder,,,none documented,84,80,60,extended
Tesla,TSLA,Deepak Ahuja,CFO (former),2008.0,India,South Asia,Yes,Tech Leader,,,Immigrant from India,76,80,78,extended
Tesla,TSLA,Zachary Kirkhorn,CFO / Master of Coin (former),2010.0,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
Tesla,TSLA,Jerome Guillen,President Automotive (former),2010.0,France,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Tesla,TSLA,Jon McNeill,President Global Sales and Service (former),2015.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Doug Field,SVP Engineering (former),2013.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Diarmuid O'Connell,VP Business Development (former),2006.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Gilbert Passin,VP Manufacturing (former),2009.0,France,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Tesla,TSLA,Joseph Mardall,Director Engineering (former),,UK,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Tesla,TSLA,Daniel Ho,Director Vehicle Programs (former),2013.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Rohan Patel,VP Public Policy and Business Development (former),2016.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Karn Budhiraj,VP Supply Chain,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Mike Snyder,VP Energy,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Brandon Ehrhart,General Counsel and Corporate Secretary,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Martin Viecha,VP Investor Relations (former),2017.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Travis Axelrod,Head of Investor Relations,2018.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Tesla,TSLA,Omead Afshar,VP / senior operations executive (former),,USA,North America,No,C-suite,,,Born to Iranian immigrant parents,76,80,78,extended
Tesla,TSLA,Bernard Tse,VP and board member (former),2003.0,,Unknown,Unknown,Director,,,none documented,72,72,45,extended
Tesla,TSLA,Malcolm Powell,VP Vehicle Engineering (former),,UK,Europe,Yes,C-suite,,,none documented,76,74,60,extended
