name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Dina Powell McCormick,President and Vice Chairman,2025,Egypt,University of Texas,Goldman Sachs; BDT & MSD Partners,Former US deputy national security advisor; Egyptian-born immigrant,Immigrant from Egypt to US as a child
Joel Kaplan,Chief Global Affairs Officer,2011,USA,Harvard; Harvard Law,White House (George W. Bush admin),Former White House deputy chief of staff; succeeded Nick Clegg,none documented
C.J. Mahoney,Chief Legal Officer,2021,USA,Harvard; Yale Law,Office of US Trade Representative,Former Deputy USTR,none documented
Janelle Gale,Chief People Officer,2012,,,,Long-time Meta HR leader,none documented
Dave Wehner,Chief Strategy Officer,2012,USA,Georgetown,Allen & Company; Zynga,Former Meta CFO,none documented
Maxine Williams,VP Accessibility and Engagement,2013,Trinidad and Tobago,Yale; Oxford (Rhodes Scholar),,Former chief diversity officer; Rhodes Scholar,Born in Trinidad and Tobago
Naomi Gleit,Head of Product,2005,USA,Stanford,,One of Meta's longest-serving employees (joined ~2005),none documented
Santosh Janardhan,Head of Infrastructure,,India,,,Leads Meta global data-center and infra organization,none documented
Erin Egan,Chief Privacy Officer Policy,,USA,,,Leads privacy policy at Meta,none documented
Michel Protti,Chief Compliance and Privacy Officer Product,,,,,Leads product compliance and privacy,none documented
Alex Schultz,Chief Marketing Officer and VP Analytics,2007,United Kingdom,Cambridge,,Growth and analytics leader; openly gay executive,none documented
Tom Alison,Head of Facebook,2016,USA,,Microsoft,Leads the core Facebook app,none documented
Justin Osofsky,Head of Partnerships and Business Development,2008,USA,,,Long-time Meta partnerships leader,none documented
John Hegeman,Chief Revenue Officer,2007,USA,,,Rose through ads and Feed; named CRO 2024,none documented
Nicola Mendelsohn,Head of Global Business Group,2013,United Kingdom,,Karmarama,Leads global ad sales; UK advertising veteran,Has spoken publicly about her follicular lymphoma diagnosis
Guy Rosen,Chief Information Security Officer (former),2013,Israel,,Onavo (acquired by Facebook),Co-founded Onavo; led integrity; departed ~2025,none documented
Vishal Shah,VP AI Products,,India,,,Former VP Metaverse; earlier led Instagram product,none documented
David Marcus,VP Messaging / Head of Libra (former),2014,France,,PayPal,Former PayPal president; led Messenger and Libra/Diem; left 2021,none documented
Stephane Kasriel,Head of Commerce and Fintech,,France,Stanford; INSEAD,Upwork,Former Upwork CEO; took over Meta financial services,none documented
Marne Levine,Chief Business Officer (former),2010,USA,Harvard; Harvard,US Treasury,Former Instagram COO; left Meta 2023,none documented
Sheryl Sandberg,Chief Operating Officer (former),2008,USA,Harvard; Harvard MBA,Google; US Treasury,Author of Lean In; Meta COO 2008-2022; board member,Widowed suddenly in 2015 (husband Dave Goldberg)
Nick Clegg,President Global Affairs (former),2018,United Kingdom,Cambridge; College of Europe,UK Government,Former UK Deputy Prime Minister; left Meta 2025,none documented
Mike Schroepfer,Senior Fellow (former CTO),2008,USA,Stanford,Mozilla,Meta CTO 2013-2022; led AI push; now climate philanthropy,none documented
Alexandr Wang,Chief AI Officer,2025,USA,MIT (dropped out),Scale AI,Co-founder and former CEO of Scale AI; leads Meta Superintelligence Labs,none documented
Nat Friedman,Leader AI Products (MSL),2025,USA,MIT,GitHub; Microsoft,Former GitHub CEO; co-leads MSL,none documented
Daniel Gross,Leader (MSL),2025,Israel,,Safe Superintelligence; Apple; Y Combinator,Former CEO of Safe Superintelligence; Israeli-born,Immigrant; born in Jerusalem Israel
Yann LeCun,Chief AI Scientist (former),2013,France,ESIEE Paris; Université Pierre et Marie Curie,Bell Labs; NYU,Turing Award winner; founded FAIR; left Dec 2025 to start AMI Labs,none documented
Joelle Pineau,Head of AI Research / FAIR lead (former),2017,Canada,Waterloo; Carnegie Mellon,McGill University,Led FAIR; left 2025 for Cohere,none documented
Robert Fergus,Head of FAIR,2025,United Kingdom,Cambridge; Oxford; Caltech,Google DeepMind; NYU,Co-founded FAIR in 2014; returned 2025 to lead FAIR,none documented
Jerome Pesenti,VP of AI (former),2018,France,,IBM Watson; Vivisimo,Led Meta AI 2018-2022; PhD in mathematics,none documented
Michael Abrash,Chief Scientist Reality Labs,2014,USA,University of Pennsylvania,Valve; id Software; Microsoft,Renowned graphics programmer; Quake and Half-Life engine work,none documented
Manohar Paluri,VP AI,2014,India,IIIT Hyderabad; Georgia Tech (PhD),Google; IBM Watson; SRI,Co-founder of FAIR; leads media applied research in MSL; led Llama,Grew up in India
Ahmad Al-Dahle,VP Head of GenAI (former),,USA,,Apple,Led Llama and GenAI org; left for Airbnb Jan 2026,none documented
Aparna Ramani,VP Engineering AI Infrastructure (former),,India,,,Long-time infra VP; led MSL infra; departed 2026,none documented
